date,metal,warehouse,registered,eligible,total,received,withdrawn,net_change,report_date,activity_date,fetched_at
2025-12-24,copper,BALTIMORE,14997,14235,29232,0,0.0,0,2025-12-26,2025-12-24,2025-12-28T23:19:44.391726
2025-12-24,copper,DETROIT,11615,704,12319,0,0.0,0,2025-12-26,2025-12-24,2025-12-28T23:19:44.391726
2025-12-24,copper,EL_PASO,9280,23,9303,0,0.0,0,2025-12-26,2025-12-24,2025-12-28T23:19:44.391726
2025-12-24,copper,GRAND_TOTAL,292675,190267,482942,0,,0,2025-12-26,2025-12-24,2025-12-28T23:19:44.391726
2025-12-24,copper,NEW_ORLEANS,182090,166086,348176,0,0.0,0,2025-12-26,2025-12-24,2025-12-28T23:19:44.391726
2025-12-24,copper,OWENSBORO,2971,1925,4896,0,0.0,0,2025-12-26,2025-12-24,2025-12-28T23:19:44.391726
2025-12-24,copper,SALT_LAKE_CITY,37124,1004,38128,0,0.0,0,2025-12-26,2025-12-24,2025-12-28T23:19:44.391726
2025-12-24,copper,TUCSON,34598,6290,40888,0,0.0,0,2025-12-26,2025-12-24,2025-12-28T23:19:44.391726
2025-12-24,palladium,GRAND_TOTAL,140786,57253,198039,2205,,2205,2025-12-26,2025-12-24,2025-12-28T23:19:44.826253
2025-12-24,platinum,GRAND_TOTAL,311727,335167,646895,0,,0,2025-12-26,2025-12-24,2025-12-28T23:19:44.826253
2025-12-26,copper,BALTIMORE,14997,14235,29232,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:38:37.531934
2025-12-26,copper,DETROIT,11615,1019,12634,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:38:37.531934
2025-12-26,copper,EL_PASO,9280,23,9303,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:38:37.531934
2025-12-26,copper,GRAND_TOTAL,293333,194989,488322,354,,354,2025-12-29,2025-12-26,2025-12-29T20:38:37.531934
2025-12-26,copper,NEW_ORLEANS,182090,170128,352218,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:38:37.531934
2025-12-26,copper,OWENSBORO,3629,1753,5382,354,0.0,354,2025-12-29,2025-12-26,2025-12-29T20:38:37.531934
2025-12-26,copper,SALT_LAKE_CITY,37124,1004,38128,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:38:37.531934
2025-12-26,copper,TUCSON,34598,6827,41425,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:38:37.531934
2025-12-26,gold,ASAHI_DEPOSITORY_LLC,1923908,114412,2038321,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:40:32.481914
2025-12-26,gold,ASAHI_DEPOSITORY_LLC_ENHANCED_DELIVERY_400_OZ_AND_ELIGIBLE_BRANDS,0,0,0,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:40:32.481914
2025-12-26,gold,BRINKS_INC,8344755,2050999,10395755,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:40:32.481914
2025-12-26,gold,BRINKS_INC_ENHANCED_DELIVERY_400_OZ_AND_ELIGIBLE_BRANDS,0,21413,21413,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:40:32.481914
2025-12-26,gold,DELAWARE_DEPOSITORY,50148,129297,179445,0,0.0,0,2025-12-29,2025-12-26,2025-12-29T20:40:32.481914
